Country,Airport
Australia, Palm Island Airport (PMK/YPAM) 
Australia, Paraburdoo Airport (PBO/YPBO) 
Australia, Parkes Airport (PKE/YPKS) 
Australia, Perth Jandakot Airport (JAD/YPJT) 
Australia, Perth Airport (PER/YPPH) 
Australia, Phosphate Hill The Monument Airport (PHQ/YTMO) 
Australia, Pormpuraaw Edward River Airport (EDR/YPMP) 
Australia, Port Augusta Airport (PUG/YPAG) 
Australia, Port Hedland International Airport (PHE/YPPD) 
Australia, Port Keats Airport (PKT/YPKT) 
Australia, Port Lincoln Airport (PLO/YPLC) 
Australia, Port Macquarie Airport (PQQ/YPMQ) 
Australia, Port Pirie Airport (PPI/YPIR) 
Australia, Portland Airport (PTJ/YPOD) 
Australia, Prominent Hill Airport (PXH/YPMH) 
Australia, Proserpine Whitsunday Coast Airport (PPP/YBPN) 
Australia, Quilpie Airport (ULP/YQLP) 
Australia, Quirindi Airport (UIR/YQDI) 
Australia, Ramingining Airport (RAM/YRNG) 
Australia, Ravensthorpe Airport (RVT/YNRV) 
Australia, Redcliffe Airport (QBR/YRED) 
Australia, Renmark Airport (RMK/YREN) 
Australia, Richmond Airport (RCM/YRMD) 
Australia, Robinvale Airport (RBC/YROI) 
Australia, Rockhampton Airport (ROK/YBRK) 
Australia, Roebourne Airport (RBU/YROE) 
Australia, Roma Airport (RMA/YROM) 
Australia, Rothsay Mine Airport (QBY/YROT) 
Australia, Rottnest Island Airport (RTS/YRTI) 
Australia, Saibai Island Airport (SBR/YSII) 
Australia, West Sale Airport (SXE/YWSL) 
Australia, Scone Airport (NSO/YSCO) 
Australia, Shepparton Airport (SHT/YSHT) 
Australia, Shute Harbour Whitsunday Airport (WSY/YSHR) 
Australia, Singleton Airport (SIX/YSGT) 
Australia, Skardon River Airport (QBS/YSKR) 
Australia, Smith Point Airport (SHU/YSMP) 
Australia, Smithton Airport (SIO/YSMI) 
Australia, Solomon Airport (SLJ/YSOL) 
Australia, South Goulburn Island Airport (GBL/YGBI) 
Australia, Southern Cross Airport (SQC/YSCR) 
Australia, Southport Airport (SHQ/YSPT) 
